threshold,BCU,etive A,etive B,etive C,fault3,fault4,ness A,ness B,ness C,tarbert A,tarbert B,tarbert C
0.3,41.3415960466766,52.023263631969805,45.937606266366245,44.4902681588298,35.705548062302945,74.39149575886474,47.61819686752719,41.30340983030177,40.15452226553994,44.30889612183037,41.86021487564034,39.96046427074919
0.2,38.87969233719151,56.14980328835371,42.73607530669673,42.302244757038146,25.886616124998746,27.811717218138376,42.90008953703465,37.46812724579484,36.65478951684582,37.70130329835982,39.724117571778315,37.43708433150765
0.1,38.65641119692023,55.424292001259126,39.101877778503585,40.98201341866957,22.791675456182613,23.153320953268803,40.90679540971672,32.048854055956745,36.25548071253431,34.85134302962943,39.306277146956376,35.02658603778902
0.075,36.898748129582934,56.2516904866176,37.23241771819604,40.089565084844565,19.978820452188703,21.156615190286935,41.71139341494066,30.078434554807842,35.30534794589229,34.93401588500675,37.74420512291978,34.09817077921356
0.05,28.53580879225659,56.44002990215518,35.076509321665455,38.405629725729085,18.580424660046333,19.448462671051878,42.14083178507871,28.196370045071898,33.91552162635396,34.12411742631508,34.40603740169375,32.19606744767366
0.025,27.824228349279522,56.63350294984822,34.08573709226567,33.15625255948313,17.774271367228167,18.10831407551412,40.58380996672572,25.188602799195984,31.58465591085385,32.454046234556436,29.110616433969277,28.46275247995581
0.01,27.168316449235107,55.27018936802041,33.96046641886449,31.174864388043108,17.031573086087526,17.56481215857682,40.89162932512134,23.660658696370714,30.056759772284718,34.70782827086124,25.444564961650777,26.128391527915714
