threshold,BCU,etive A,etive B,etive C,fault3,fault4,ness A,ness B,ness C,tarbert A,tarbert B,tarbert C
0.3,5.399742529076122,1.829968709561045,2.932654331472135,6.595805178340016,-4.748948029872121,-13.264695485855524,-3.3756298014691084,-5.786209048930506,1.2785753886023963,-2.4608139356933014,-5.855168906062265,5.5354167656850475
0.2,7.667216893290233,1.936982700142316,5.471533738370342,9.695665809363827,-8.487884857007565,10.889581192755061,-13.779227711320866,-7.928901301457652,2.2139923303017826,-17.56309969695899,-10.66029616478626,8.310586623915077
0.1,13.397664044102951,1.0061321159568453,15.026803945392256,15.487064964754541,-12.015056578129672,9.392611977486853,-16.2573152869159,-8.557055038570619,3.108893093264898,-22.160780475022587,-12.893545219796707,10.188900274708274
0.075,22.850685323472298,-0.7740793560170214,22.080585614612698,18.589680776644606,-12.328363586267908,8.048436146625768,-17.010805768297693,-8.447397527312424,1.154007017336162,-27.26418504462839,-14.097946233194596,11.386720387237034
0.05,38.15622428123569,0.8319229657745935,25.065646364313753,17.681546541876095,-14.332544298508408,7.728256838040745,-20.854087248300136,-10.921186344750735,1.1406573258801513,-28.117346419740585,-14.856724456943434,12.07538764256089
0.025,47.44491811593498,4.0304606591639836,30.181091636693775,13.160547307049212,-15.297799758890626,8.164683117750597,-21.504127416436777,-16.877287611653905,2.012559819892866,-26.69453726417203,-13.42448435812515,10.297483293217411
0.01,52.396239111672735,5.417431869306402,33.85588596592795,12.739518580919842,-15.412287755858443,8.95550484140882,-23.342722720807025,-20.359158835500068,3.2193023594396446,-29.36829291016652,-15.947290836649117,11.92401968723923
