X,Y,Z,G_x,G_y,G_z,dip,azimuth,polarity,surface,group
453965.35555599985,6784737.716995998,-1831.42359746,-0.02614778713507461,0.013200441803437745,0.9995709287309895,88.32151340388907,116.78645834550832,1,BCU,BCU
452211.87318699993,6784181.667495996,-2071.5214087,-0.13548059850990768,0.03285234603813957,0.9902351896328406,81.98647545048361,103.6304157879606,1,etive,etive A
453575.72304099984,6782945.778213999,-2000.7403051500003,-0.1298771067213768,0.025840358988774313,0.991193327760541,82.39038320933726,101.25262942591434,1,etive,etive B
455216.31953699986,6787039.603409002,-2009.72490724,-0.1359511465055646,0.008850446433325632,0.9906760092793976,82.16973299513452,93.72471065381455,1,etive,etive C
455269.59718599997,6780750.596573,-2036.34194584,-0.13997768736193103,0.07379391517542472,0.9874009849721074,80.89535624070494,117.79745457957034,1,etive,etive D
455665.681201,6781860.221573,-1944.92583013,-0.05367263776102051,-0.021031196598346055,0.9983370857207582,86.69529450370334,68.60266527344587,1,etive,etive F
455907.729144,6782811.324357003,-1881.28558471,-0.1417929286026446,0.008417674489264011,0.9898605498525932,81.8339417149729,93.3974319578042,1,etive,etive G
454745.505267,6783159.975968002,-1974.0133545199997,0.11298508225444313,0.013789349037474589,0.9935009939809217,83.46423260499553,263.0417057968364,1,fault3,fault3
453320.6039,6785022.6019439995,-2056.15310912,0.0710819501291445,-0.02602332521692227,0.9971309557477858,85.65879651969942,290.1078370571402,1,fault4,fault4
452247.85182499985,6784535.772598998,-1989.5892798,-0.09711364128825081,0.026868796613032896,0.9949105529867015,84.21694537952416,105.4653701160072,1,ness,ness A
453378.278583,6783309.268204001,-1948.9887378399999,-0.12121765290080605,0.02448146757494114,0.9923240087645752,82.89632538182298,101.41803129895413,1,ness,ness B
455028.52736199996,6786039.882706002,-1942.0128979800004,-0.1312375012745832,0.014068351517814982,0.9912511284960916,82.41543302726804,96.11860722678409,1,ness,ness C
455504.8276550001,6780963.940567999,-1936.24923585,-0.12601330703929592,0.028743012385985006,0.9916120641097502,82.57375592476097,102.84905994342677,1,ness,ness D
455553.07326000015,6782847.468154999,-1857.7481994299999,-0.13170231036982497,0.043814315504444146,0.9903205577994064,82.02163814464637,108.40109205995998,1,ness,ness G
452284.85182499985,6784705.772598998,-1913.3152807699998,-0.05198091877211595,0.017546585529555535,0.9984939165662757,86.8550288342967,108.65253247623207,1,tarbert,tarbert a
453315.778583,6783237.268204001,-1880.70426147,-0.1119867474841646,0.027383848891669883,0.993332317609669,83.3798673837516,103.74076322057755,1,tarbert,tarbert b
455042.02736199996,6786263.882706002,-1882.3265478900003,-0.09402104303073429,0.012820296088941559,0.9954876611367941,84.55494932770652,97.76471418569946,1,tarbert,tarbert c
455333.82033099985,6782050.982192998,-1854.1858727999997,-0.06113817653929646,-0.011934763708052952,0.9980579566261083,86.42860897569071,78.95421791670725,1,tarbert,tarbert e
