X,Y,Z,surface,group
457671.547992,6785884.343033,-1753.054932,tarbert,tarbert f
457721.547992,6787634.343033,-1816.9520260000002,tarbert,tarbert f
458421.547992,6785534.343033,-1739.554321,tarbert,tarbert f
458213.355556,6786129.716996,-1740.23877,unconformity,unconformity
457813.355556,6787929.716996,-1797.645142,unconformity,unconformity
456113.355556,6786779.716996,-1795.6033940000002,unconformity,unconformity
456963.355556,6786979.716996,-1739.05481,unconformity,unconformity
455513.355556,6785829.716996,-1799.989868,unconformity,unconformity
455163.355556,6786129.716996,-1842.29187,unconformity,unconformity
458363.355556,6785579.716996,-1719.788086,unconformity,unconformity
457713.355556,6786379.716996,-1731.768677,unconformity,unconformity
455463.355556,6787929.716996,-1851.161377,unconformity,unconformity
457013.355556,6787479.716996,-1770.638184,unconformity,unconformity
