X,Y,Z,G_x,G_y,G_z,surface,group,polarity,dip,azimuth
455385.319537,6786604.103409,-1994.4092040999997,-0.18878627956710867,-0.0010023722778604888,0.9820176861426816,etive,etive c,1,10.882116596018047,269.69578741914376
456581.465472,6786885.422135,-1925.1032228,-0.16495392477957274,0.02458129966330869,0.9859949099293959,etive,etive e,1,9.60038723765379,278.4757978350946
458385.025043,6787142.6649939995,-1877.7531737999998,-0.03945202744316552,0.04400725074967216,0.9982519218173733,etive,etive j,1,3.3882959902956755,318.1241147807639
455979.83021800005,6786865.989151999,-1962.8476684000002,0.3955945564574493,0.13082352347149134,0.9090600379555457,fault6,fault6,1,24.624222773109267,71.70089658009219
457613.95680499997,6787262.966691,-1990.2081908999996,0.4414905275073433,0.08760758966461499,0.8929787367874132,fault7,fault7,1,26.750026302383766,78.77626049996934
455367.527362,6786875.882706,-1918.1778196999999,-0.1441435527382882,-0.001251707940720807,0.9895559961069489,ness,ness c,1,8.288002047442722,269.502469737841
456300.314715,6787046.143693,-1893.0939698000002,-0.13464343501513693,0.025352326146244497,0.9905697375582899,ness,ness e h,1,7.874833932949868,280.663504368749
458265.025043,6787422.6649939995,-1835.9337402,-0.10341934116120384,0.04398266540328728,0.9936649158633936,ness,ness j,1,6.4527280907180975,293.0393079974012
455187.527362,6786730.882706,-1880.3897949999998,-0.12362784712040621,-0.011364523406517458,0.9922635753791007,tarbert,tarbert c,1,7.131619568163554,264.74783078190427
456321.896442,6786711.540786999,-1846.2106079999999,-0.07881285415914384,0.028955873315237544,0.9964688110622638,tarbert,tarbert d,1,4.816438161088683,290.1733517372602
458056.547992,6786829.343032999,-1780.7247071000002,-0.02441039810126712,0.03397986790284364,0.9991243671544814,tarbert,tarbert f,1,2.397896023374827,324.30735537003176
456833.355556,6786714.716996001,-1778.8180178000002,-0.03088032890576501,0.017333509429551704,0.9993727806667176,unconformity,unconformity,1,2.0294111909944896,299.30603478233013
